"スキル項目コード","専門分野コード"
"S120030050","HP-010-090"
"S120040010","HI-040-010"
"S120040010","HI-080-010"
"S120040010","HU-070-010"
"S120040010","HU-080-010"
"S120040010","HE-020-010"
"S120040010","HE-020-020"
"S120040010","HE-040-010"
"S120040010","HE-050-010"
"S120040010","HE-060-010"
"S120040010","HS-020-010"
"S120040010","HS-050-010"
"S120040010","HF-010-030"
"S120040010","HF-020-020"
"S120040010","HF-020-030"
"S120040010","HF-020-050"
"S120040010","HF-030-020"
"S120040010","HF-030-030"
"S120040010","HF-040-010"
"S120040010","HN-010-030"
"S120040010","HN-020-030"
"S120040010","HP-010-020"
"S120040010","HP-010-030"
"S120040010","HP-010-090"
"S120040020","HI-040-010"
"S120040020","HI-080-010"
"S120040020","HU-080-010"
"S120040020","HE-020-010"
"S120040020","HE-020-020"
"S120040020","HE-040-010"
"S120040020","HE-050-010"
"S120040020","HE-060-010"
"S120040020","HS-020-010"
"S120040020","HF-010-030"
"S120040020","HF-020-020"
"S120040020","HF-020-030"
"S120040020","HF-020-050"
"S120040020","HF-030-020"
"S120040020","HF-030-030"
"S120040020","HF-040-010"
"S120040020","HN-010-030"
"S120040020","HN-020-030"
"S120040020","HP-010-020"
"S120040020","HP-010-030"
"S120040020","HP-010-090"
"S130010010","HI-040-010"
"S130010010","HI-060-010"
"S130010010","HI-060-020"
"S130010010","HI-060-030"
"S130010010","HI-060-040"
"S130010010","HI-060-050"
"S130010010","HI-060-060"
"S130010010","HI-080-010"
"S130010010","HU-050-010"
"S130010010","HU-070-010"
"S130010010","HU-080-010"
"S130010010","HE-020-010"
"S130010010","HE-020-020"
"S130010010","HE-040-010"
"S130010010","HE-050-010"
"S130010010","HE-060-010"
"S130010010","HE-070-020"
"S130010010","HE-080-010"
"S130010010","HE-100-010"
"S130010010","HS-020-010"
"S130010010","HS-040-010"
"S130010010","HF-010-030"
"S130010010","HF-010-050"
"S130010010","HF-020-020"
"S130010010","HF-020-030"
"S130010010","HF-020-050"
"S130010010","HF-030-020"
"S130010010","HF-030-030"
"S130010010","HF-030-060"
"S130010010","HF-040-010"
"S130010010","HF-040-030"
"S130010010","HN-010-030"
"S130010010","HN-020-030"
"S130010010","HN-030-020"
"S130010010","HP-010-020"
"S130010010","HP-010-030"
"S130010010","HP-010-060"
"S130010010","HP-010-090"
"S130010020","HI-040-010"
"S130010020","HI-080-010"
"S130010020","HU-070-010"
"S130010020","HU-080-010"
"S130010020","HE-020-010"
